rh    vr    ne    p    pw
   1.60220E+00   2.10529E-02   3.37195E-02   2.53290E-03   0.00000E+00
   1.60930E+00   2.14817E-02   3.27556E-02   2.45903E-03   0.00000E+00
   1.61647E+00   2.19185E-02   3.18191E-02   2.38730E-03   0.00000E+00
   1.62369E+00   2.23636E-02   3.09092E-02   2.31764E-03   0.00000E+00
   1.63098E+00   2.28170E-02   3.00252E-02   2.25000E-03   0.00000E+00
   1.63833E+00   2.32788E-02   2.91663E-02   2.18432E-03   0.00000E+00
   1.64574E+00   2.37491E-02   2.83320E-02   2.12055E-03   0.00000E+00
   1.65322E+00   2.42281E-02   2.75213E-02   2.05863E-03   0.00000E+00
   1.66076E+00   2.47160E-02   2.67339E-02   1.99851E-03   0.00000E+00
   1.66837E+00   2.52127E-02   2.59689E-02   1.94015E-03   0.00000E+00
   1.67605E+00   2.57185E-02   2.52258E-02   1.88349E-03   0.00000E+00
   1.68379E+00   2.62335E-02   2.45040E-02   1.82848E-03   0.00000E+00
   1.69160E+00   2.67578E-02   2.38029E-02   1.77509E-03   0.00000E+00
   1.69948E+00   2.72914E-02   2.31218E-02   1.72325E-03   0.00000E+00
   1.70742E+00   2.78347E-02   2.24604E-02   1.67294E-03   0.00000E+00
   1.71544E+00   2.83876E-02   2.18179E-02   1.62410E-03   0.00000E+00
   1.72352E+00   2.89503E-02   2.11939E-02   1.57669E-03   0.00000E+00
   1.73168E+00   2.95229E-02   2.05878E-02   1.53068E-03   0.00000E+00
   1.73990E+00   3.01056E-02   1.99992E-02   1.48602E-03   0.00000E+00
   1.74820E+00   3.06984E-02   1.94275E-02   1.44267E-03   0.00000E+00
   1.75657E+00   3.13016E-02   1.88723E-02   1.40060E-03   0.00000E+00
   1.76501E+00   3.19152E-02   1.83331E-02   1.35977E-03   0.00000E+00
   1.77353E+00   3.25393E-02   1.78095E-02   1.32015E-03   0.00000E+00
   1.78212E+00   3.31741E-02   1.73010E-02   1.28170E-03   0.00000E+00
   1.79078E+00   3.38198E-02   1.68072E-02   1.24438E-03   0.00000E+00
   1.79952E+00   3.44763E-02   1.63277E-02   1.20816E-03   0.00000E+00
   1.80833E+00   3.51439E-02   1.58620E-02   1.17302E-03   0.00000E+00
   1.81722E+00   3.58227E-02   1.54098E-02   1.13891E-03   0.00000E+00
   1.82619E+00   3.65128E-02   1.49707E-02   1.10582E-03   0.00000E+00
   1.83524E+00   3.72143E-02   1.45443E-02   1.07370E-03   0.00000E+00
   1.84437E+00   3.79274E-02   1.41303E-02   1.04254E-03   0.00000E+00
   1.85357E+00   3.86521E-02   1.37282E-02   1.01230E-03   0.00000E+00
   1.86285E+00   3.93886E-02   1.33378E-02   9.82962E-04   0.00000E+00
   1.87222E+00   4.01371E-02   1.29588E-02   9.54490E-04   0.00000E+00
   1.88167E+00   4.08976E-02   1.25907E-02   9.26863E-04   0.00000E+00
   1.89119E+00   4.16702E-02   1.22333E-02   9.00056E-04   0.00000E+00
   1.90081E+00   4.24551E-02   1.18862E-02   8.74045E-04   0.00000E+00
   1.91050E+00   4.32524E-02   1.15493E-02   8.48807E-04   0.00000E+00
   1.92028E+00   4.40623E-02   1.12221E-02   8.24317E-04   0.00000E+00
   1.93014E+00   4.48847E-02   1.09044E-02   8.00556E-04   0.00000E+00
   1.94009E+00   4.57199E-02   1.05959E-02   7.77500E-04   0.00000E+00
   1.95013E+00   4.65680E-02   1.02963E-02   7.55128E-04   0.00000E+00
   1.96025E+00   4.74291E-02   1.00055E-02   7.33422E-04   0.00000E+00
   1.97047E+00   4.83032E-02   9.72308E-03   7.12359E-04   0.00000E+00
   1.98077E+00   4.91905E-02   9.44889E-03   6.91924E-04   0.00000E+00
   1.99115E+00   5.00911E-02   9.18269E-03   6.72099E-04   0.00000E+00
   2.00163E+00   5.10049E-02   8.92431E-03   6.52869E-04   0.00000E+00
   2.01219E+00   5.19318E-02   8.67357E-03   6.34221E-04   0.00000E+00
   2.02283E+00   5.28717E-02   8.43029E-03   6.16142E-04   0.00000E+00
   2.03355E+00   5.38244E-02   8.19428E-03   5.98614E-04   0.00000E+00
   2.04435E+00   5.47900E-02   7.96533E-03   5.81623E-04   0.00000E+00
   2.05524E+00   5.57684E-02   7.74322E-03   5.65151E-04   0.00000E+00
   2.06621E+00   5.67598E-02   7.52773E-03   5.49181E-04   0.00000E+00
   2.07726E+00   5.77640E-02   7.31868E-03   5.33699E-04   0.00000E+00
   2.08839E+00   5.87812E-02   7.11584E-03   5.18688E-04   0.00000E+00
   2.09961E+00   5.98114E-02   6.91903E-03   5.04132E-04   0.00000E+00
   2.11091E+00   6.08546E-02   6.72806E-03   4.90019E-04   0.00000E+00
   2.12229E+00   6.19111E-02   6.54274E-03   4.76332E-04   0.00000E+00
   2.13377E+00   6.29807E-02   6.36290E-03   4.63059E-04   0.00000E+00
   2.14532E+00   6.40637E-02   6.18837E-03   4.50187E-04   0.00000E+00
   2.15697E+00   6.51599E-02   6.01898E-03   4.37702E-04   0.00000E+00
   2.16870E+00   6.62695E-02   5.85456E-03   4.25592E-04   0.00000E+00
   2.18053E+00   6.73926E-02   5.69497E-03   4.13845E-04   0.00000E+00
   2.19244E+00   6.85292E-02   5.54005E-03   4.02450E-04   0.00000E+00
   2.20444E+00   6.96793E-02   5.38966E-03   3.91395E-04   0.00000E+00
   2.21653E+00   7.08430E-02   5.24365E-03   3.80669E-04   0.00000E+00
   2.22871E+00   7.20203E-02   5.10190E-03   3.70263E-04   0.00000E+00
   2.24099E+00   7.32113E-02   4.96427E-03   3.60165E-04   0.00000E+00
   2.25336E+00   7.44161E-02   4.83063E-03   3.50367E-04   0.00000E+00
   2.26582E+00   7.56346E-02   4.70086E-03   3.40858E-04   0.00000E+00
   2.27837E+00   7.68670E-02   4.57483E-03   3.31630E-04   0.00000E+00
   2.29102E+00   7.81133E-02   4.45245E-03   3.22674E-04   0.00000E+00
   2.30376E+00   7.93735E-02   4.33358E-03   3.13980E-04   0.00000E+00
   2.31660E+00   8.06476E-02   4.21812E-03   3.05542E-04   0.00000E+00
   2.32954E+00   8.19358E-02   4.10598E-03   2.97350E-04   0.00000E+00
   2.34257E+00   8.32381E-02   3.99705E-03   2.89398E-04   0.00000E+00
   2.35571E+00   8.45544E-02   3.89121E-03   2.81677E-04   0.00000E+00
   2.36894E+00   8.58850E-02   3.78840E-03   2.74180E-04   0.00000E+00
   2.38227E+00   8.72297E-02   3.68851E-03   2.66901E-04   0.00000E+00
   2.39570E+00   8.85886E-02   3.59145E-03   2.59832E-04   0.00000E+00
   2.40923E+00   8.99619E-02   3.49714E-03   2.52967E-04   0.00000E+00
   2.42287E+00   9.13495E-02   3.40549E-03   2.46300E-04   0.00000E+00
   2.43661E+00   9.27515E-02   3.31642E-03   2.39824E-04   0.00000E+00
   2.45045E+00   9.41678E-02   3.22986E-03   2.33534E-04   0.00000E+00
   2.46439E+00   9.55987E-02   3.14573E-03   2.27423E-04   0.00000E+00
   2.47844E+00   9.70439E-02   3.06397E-03   2.21488E-04   0.00000E+00
   2.49260E+00   9.85032E-02   2.98450E-03   2.15722E-04   0.00000E+00
   2.50686E+00   9.99763E-02   2.90727E-03   2.10122E-04   0.00000E+00
   2.52123E+00   1.01463E-01   2.83222E-03   2.04682E-04   0.00000E+00
   2.53571E+00   1.02964E-01   2.75927E-03   1.99397E-04   0.00000E+00
   2.55030E+00   1.04477E-01   2.68838E-03   1.94263E-04   0.00000E+00
   2.56500E+00   1.06005E-01   2.61946E-03   1.89275E-04   0.00000E+00
   2.57981E+00   1.07546E-01   2.55248E-03   1.84428E-04   0.00000E+00
   2.59473E+00   1.09100E-01   2.48736E-03   1.79719E-04   0.00000E+00
   2.60976E+00   1.10667E-01   2.42406E-03   1.75142E-04   0.00000E+00
   2.62491E+00   1.12248E-01   2.36251E-03   1.70694E-04   0.00000E+00
   2.64017E+00   1.13842E-01   2.30267E-03   1.66370E-04   0.00000E+00
   2.65554E+00   1.15449E-01   2.24449E-03   1.62168E-04   0.00000E+00
   2.67103E+00   1.17069E-01   2.18791E-03   1.58083E-04   0.00000E+00
   2.68664E+00   1.18702E-01   2.13289E-03   1.54112E-04   0.00000E+00
   2.70237E+00   1.20348E-01   2.07938E-03   1.50251E-04   0.00000E+00
   2.71821E+00   1.22007E-01   2.02734E-03   1.46497E-04   0.00000E+00
   2.73418E+00   1.23679E-01   1.97673E-03   1.42846E-04   0.00000E+00
   2.75026E+00   1.25363E-01   1.92750E-03   1.39296E-04   0.00000E+00
   2.76646E+00   1.27061E-01   1.87961E-03   1.35844E-04   0.00000E+00
   2.78279E+00   1.28770E-01   1.83302E-03   1.32487E-04   0.00000E+00
   2.79924E+00   1.30492E-01   1.78770E-03   1.29221E-04   0.00000E+00
   2.81582E+00   1.32227E-01   1.74361E-03   1.26044E-04   0.00000E+00
   2.83251E+00   1.33974E-01   1.70070E-03   1.22954E-04   0.00000E+00
   2.84934E+00   1.35733E-01   1.65896E-03   1.19947E-04   0.00000E+00
   2.86629E+00   1.37504E-01   1.61834E-03   1.17022E-04   0.00000E+00
   2.88337E+00   1.39287E-01   1.57880E-03   1.14176E-04   0.00000E+00
   2.90058E+00   1.41082E-01   1.54033E-03   1.11406E-04   0.00000E+00
   2.91792E+00   1.42889E-01   1.50288E-03   1.08710E-04   0.00000E+00
   2.93539E+00   1.44708E-01   1.46643E-03   1.06087E-04   0.00000E+00
   2.95299E+00   1.46538E-01   1.43096E-03   1.03534E-04   0.00000E+00
